,Epoch,Iteration,Train Loss,Train Acc
0,0,0,3769.50634765625,21.875
1,0,100,1670.1928789497601,26.39232673267327
2,0,200,1395.6833113485309,25.54415422885572
3,0,300,1251.4403309362672,25.851328903654483
4,0,400,1141.5477068893927,25.63123441396509
5,0,500,1046.3231875482434,25.973053892215567
6,0,600,982.5819461460717,25.930740432612314
7,0,700,924.0536648781596,25.887125534950073
8,0,800,872.5135350983389,25.979244694132333
9,0,900,830.9045853355484,26.20352386237514
10,0,1000,792.3529144043213,26.16133866133866
11,0,1100,760.3808997879236,26.053019981834694
12,0,1200,732.3469849649218,26.095441298917567
13,0,1300,704.2576733764367,26.17217524980784
14,0,1400,679.7844815740918,26.24018558172734
15,0,1500,657.1741048061872,26.297051965356427
16,0,1600,633.6108252997699,26.42293878825734
17,0,1700,614.2531084871376,26.41093474426808
18,0,1800,595.5311519489362,26.448847862298724
19,0,1900,577.4106656334891,26.469621251972647
20,0,2000,560.360239657088,26.566404297851076
21,0,2100,544.7377120630337,26.597453593526893
22,0,2200,529.8459665696223,26.66685597455702
23,0,2300,515.5135106265363,26.738374619730553
24,0,2400,503.48288382038083,26.793523531861723
25,0,2500,490.9195247834704,26.88549580167933
26,0,2600,479.42973688427,26.911524413687044
27,0,2700,468.75134103062504,27.01777119585339
28,0,2800,458.44188733494144,27.11531595858622
29,0,2900,449.9670845697108,27.20074974146846
30,0,3000,439.77368132792407,27.356506164611798
31,0,3100,431.4059362599097,27.445783618187683
32,0,3200,422.4961099633572,27.630037488284913
33,0,3300,413.965336349797,27.82774159345653
34,0,3400,406.2050252228546,28.054248750367538
35,0,3500,398.6459188071771,28.244608683233363
36,0,3600,390.66375624686606,28.487746459316856
37,0,3700,383.35327363136616,28.723655768711158
38,1,0,82.81402587890625,46.875
39,1,100,104.47610730463916,41.738861386138616
40,1,200,100.77503857209315,43.159203980099505
41,1,300,95.47978769980396,44.42483388704319
42,1,400,99.79877266919523,44.82543640897756
43,1,500,102.30464144952283,45.546407185628745
44,1,600,100.15648791397273,46.500623960066555
45,1,700,97.95338051941528,47.55706134094151
46,1,800,96.17752766936609,48.681335830212234
47,1,900,92.5687930025615,50.16301331853496
48,1,1000,92.12181921796008,50.96153846153846
49,1,1100,90.88123314863546,51.748410535876474
50,1,1200,89.1513632084309,52.71128226477935
51,1,1300,86.76100417085101,53.74951960030746
52,1,1400,84.27877689650194,54.79568165596003
53,1,1500,81.93900864732655,55.77948034643571
54,1,1600,81.45451333000092,56.40029668956902
55,1,1700,80.35813284677172,57.12632275132275
56,1,1800,79.31357460667994,57.870627429205996
57,1,1900,77.83269584711948,58.59416096791163
58,1,2000,76.9386592738215,59.2281984007996
59,1,2100,76.05057349924472,59.876249405045215
60,1,2200,75.10663971647465,60.40294184461608
61,1,2300,74.29432315186074,60.93274663189917
62,1,2400,73.11244990586341,61.51343190337359
63,1,2500,72.11922286738117,62.06642343062775
64,1,2600,71.44959222760033,62.54685697808535
65,1,2700,70.75378646596546,63.01022769344687
66,1,2800,70.24846643116425,63.443859335951444
67,1,2900,69.84856755721329,63.79050327473285
68,1,3000,69.70460577710398,64.15465678107297
69,1,3100,68.9608541916448,64.5759432441148
70,1,3200,68.59676200356795,64.91037956888472
71,1,3300,68.3155327503279,65.28135413511058
72,1,3400,68.03323725831191,65.6286753895913
73,1,3500,67.76540147477239,65.97043701799485
74,1,3600,67.4024065349818,66.30970563732296
75,1,3700,66.83467057632004,66.6365509321805
76,2,0,32.72010803222656,75.0
77,2,100,34.93290043234431,82.45668316831683
78,2,200,42.92107653915981,81.03233830845771
